nome,cpf,idade,data,endereco,estado,pais
Ana Julia Andrade,941.873.265-37,52,26/09/1972,"Favela Ramos, 19
Vila Cemig
95836-666 da Rosa de Fogaça / GO","('PR', 'Paraná')",Brasil
Hellena Câmara,432.851.906-98,30,24/07/1994,"Feira de Vasconcelos, 7
São Benedito
69713278 da Mota do Galho / AP","('SC', 'Santa Catarina')",Brasil
Eduarda Gonçalves,546.783.102-07,52,23/03/1972,"Quadra de Camargo, 485
Itapoa
40771-677 da Luz / SE","('RR', 'Roraima')",Brasil
Natália Pires,349.861.057-01,26,17/06/1998,"Alameda Maria Cecília Souza
Esplanada
25796-715 Casa Grande de Novais / BA","('CE', 'Ceará')",Brasil
Ana Lívia Caldeira,012.849.675-49,28,19/12/1995,"Quadra de Siqueira, 50
Conjunto Celso Machado
62553-378 da Cruz / RS","('RS', 'Rio Grande do Sul')",Brasil
Alícia Marques,570.693.241-70,47,11/09/1977,"Quadra Castro, 84
Esplanada
83100-047 Albuquerque / CE","('SP', 'São Paulo')",Brasil
Samuel Gonçalves,247.653.918-09,30,17/02/1994,"Rodovia Martins
Jardim Do Vale
33893-773 Leão / SP","('AM', 'Amazonas')",Brasil
Letícia da Conceição,210.796.843-87,56,24/10/1968,"Praia Anna Liz Sales, 23
Cidade Nova
84595255 Sales de Machado / PE","('BA', 'Bahia')",Brasil
João Pedro Cavalcante,469.517.238-00,18,09/08/2006,"Travessa Rocha
Independência
87783425 Albuquerque dos Dourados / AC","('MT', 'Mato Grosso')",Brasil
Dr. Mathias Abreu,438.960.512-70,22,17/06/2002,"Condomínio Monteiro, 71
Biquinhas
65624-931 Martins / GO","('MG', 'Minas Gerais')",Brasil
Gael Henrique da Cunha,904.568.371-75,47,21/07/1977,"Quadra Andrade, 60
Vila Ouro Minas
78167095 Ferreira dos Dourados / ES","('CE', 'Ceará')",Brasil
Sara Marques,972.438.561-28,50,22/12/1973,"Colônia Sofia da Cunha, 6
Santa Isabel
59996-381 Sampaio da Mata / CE","('MA', 'Maranhão')",Brasil
Arthur Miguel da Costa,516.497.280-85,52,07/07/1972,"Avenida Hadassa Duarte, 4
Rio Branco
34574-313 Viana de Monteiro / SC","('SP', 'São Paulo')",Brasil
Felipe Garcia,264.803.971-69,18,22/08/2006,"Lago de Pinto, 66
Cidade Nova
51295-170 Abreu de Carvalho / MT","('MT', 'Mato Grosso')",Brasil
Dr. Benjamin Camargo,278.910.345-32,37,29/08/1987,"Travessa Brito, 531
Ouro Preto
68031-309 da Costa / PR","('DF', 'Distrito Federal')",Brasil
Cecilia Siqueira,407.215.639-61,50,31/03/1974,"Área Peixoto, 1
Anchieta
42027-662 Montenegro / PA","('SC', 'Santa Catarina')",Brasil
Ísis da Conceição,128.567.340-90,54,14/03/1970,"Ladeira de Freitas, 66
Nova America
04604007 Correia das Pedras / MA","('PI', 'Piauí')",Brasil
Sra. Raquel Cunha,253.789.061-21,53,29/06/1971,"Passarela Isabel Silveira, 99
Araguaia
56596610 Farias da Praia / MT","('AP', 'Amapá')",Brasil
Srta. Brenda Gomes,042.815.376-35,59,28/07/1965,"Passarela João Vitor Costa, 53
Carlos Prates
44259003 Montenegro Grande / RS","('AP', 'Amapá')",Brasil
Murilo Rios,481.075.639-48,43,10/03/1981,"Jardim de Pimenta, 54
Olhos D'água
63521652 Cardoso do Sul / DF","('BA', 'Bahia')",Brasil
Sarah Araújo,578.921.460-67,43,14/09/1981,"Largo Nogueira, 67
Nova Pampulha
22702-038 Pires / ES","('RR', 'Roraima')",Brasil
Sra. Marcela Barros,107.692.853-68,54,13/10/1970,"Travessa Ana Liz Fonseca, 61
João Pinheiro
23143-660 Leão de Alves / MA","('DF', 'Distrito Federal')",Brasil
Heloisa Pereira,041.762.953-25,19,03/09/2005,"Viaduto das Neves
Jardim Alvorada
95997898 Lopes / CE","('AP', 'Amapá')",Brasil
Renan Sá,764.280.931-03,19,22/06/2005,"Lago Luiz Henrique Vasconcelos
Mangueiras
38140529 Oliveira / AL","('MT', 'Mato Grosso')",Brasil
Daniel Cirino,623.514.798-82,48,04/08/1976,"Praia Enrico Mendonça
Nova Cintra
98465-400 Rios dos Dourados / MG","('AL', 'Alagoas')",Brasil
Benício Fernandes,698.037.142-87,31,04/04/1993,"Conjunto Marina Gonçalves, 51
Canadá
80290901 Leão de Vieira / CE","('PR', 'Paraná')",Brasil
Isaque Farias,289.563.714-82,57,28/07/1967,"Rua Caldeira, 435
Concórdia
65491283 Pinto / GO","('MT', 'Mato Grosso')",Brasil
